0,1,2,3,4,5,6,7,8,9,10,11,12
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB2-3,AB2-305 SMEC,SMEC D2+T,D2+TD2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-4,AB1-409 SMEC,SMEC D2+T,D2+TD2 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-6,AB1-611 SENS,SENSE D1+T,D1+TD1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-7,AB1-710 SENS,SENSE D1+T,D1+TD1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-7,AB1-711 SENS,SENSE D1+T,D1+TD1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-8,AB1-801 SENS,SENSE D1+T,D1+TD1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-8,AB1-802 SENS,SENSE D1+T,D1+TD1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-8,AB1-808 SENS,SENSE D1+T,D1+TD1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-8,AB1-809 SENS,SENSE D1+T,D1+TD1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB4-5,AB4-516 SENS,SENSE D1+T,D1+TD1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-6,AB1-611 SENS,SENSE D2+T,D2+TD2 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-7,AB1-710 SENS,SENSE D2+T,D2+TD2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-7,AB1-711 SENS,SENSE D2+T,D2+TD2 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-8,AB1-801 SENS,SENSE D2+T,D2+TD2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-8,AB1-802 SENS,SENSE D2+T,D2+TD2 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-8,AB1-808 SENS,SENSE D2+T,D2+TD2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-8,AB1-809 SENS,SENSE D2+T,D2+TD2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB1-7,AB1-708 SCE,SCE D1+T,D1+TD1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-405 BCE,BCE G1+T,G1+TG1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-406 BCE,BCE G1+T,G1+TG1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-407 BCE,BCE G1+T,G1+TG1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-409 BCE,BCE G1+T,G1+TG1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-413 BCE,BCE G1+T,G1+TG1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-5,AB3-503 BCE,BCE G1+T,G1+TG1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-5,AB3-504 BCE,BCE G1+T,G1+TG1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-5,AB3-505 BCE,BCE G1+T,G1+TG1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-5,AB3-506 BCE,BCE G1+T,G1+TG1 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-5,AB3-507 BCE,BCE G1+T,G1+TG1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-403 BCE,BCE G2+T,G2+TG2 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-404 BCE,BCE G2+T,G2+TG2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-405 BCE,BCE G2+T,G2+TG2 FACE,FACE FACE,FACE (APT)
BSTS301P Advan,Advanced Competitive Coding - I SS,SS 3,3 0,0 0,0 0,0 1.5,1.5 AB3-4,AB3-406 BCE,BCE G2+T,G2+TG2 ETHN,ETHNUS ETHN,ETHNUS (APT)
